Дата;Инн;КБК;Наименование КБК;Сальдо
01.05.2015;0266030691;18210501011010000110;Налог, взимаемый с налогоплательщиков, выбравших в качестве объекта налогообложения доходы;-2832
01.05.2015;0266990081;18210501021010000110;Налог, взимаемый с налогоплательщиков, выбравших в качестве объекта налогообложения доходы, уменьшенные на величину расходов;-28082
01.05.2015;0277100069;18210606032040000110;(Салават)Земельный налог с организаций, обладающих земельным участком, расположенным в границах городских округов;-184590
01.05.2015;0266017644;18210906010020000110;"Налог с продаж (в части сумм по расчетам за 2003 и погашения задолженности прошлых лет);";-307,62
01.05.2015;0266016577;18210907052040000110;Прочие местные налоги и сборы;-747,91
01.05.2015;0266016577;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-90
01.05.2015;0266016577;18210906010020000110;"Налог с продаж (в части сумм по расчетам за 2003 и погашения задолженности прошлых лет);";-4286
01.05.2015;0266016577;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-2903
01.05.2015;0266016577;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-844,82
01.05.2015;0266016577;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-517,26
01.05.2015;0266002020;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-769
01.05.2015;0266002020;18210905050010000110;Прочие товары(сырьё);-423,37
01.05.2015;0266002020;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-481,68
01.05.2015;0266002020;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-640,12
01.05.2015;0266002020;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-246,73
01.05.2015;0266002020;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-838,55
01.05.2015;0266002020;18210904020020000110;Задолженность по налогу с владельцев транспортных  средстви по налогу на приобретение транспортных средств;-589,16
01.05.2015;0266002020;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-3725,78
01.05.2015;0266990170;18210301000010000110;НДС Налогового агента;-89
01.05.2015;0274045684;18210606032040000110;(Салават)Земельный налог с организаций, обладающих земельным участком, расположенным в границах городских округов;-701
01.05.2015;7704036302;18210905050010000110;Прочие товары(сырьё);-2423,59
01.05.2015;7704036302;18210907052040000110;Прочие местные налоги и сборы;-4922,5
01.05.2015;7704036302;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-2755,76
01.05.2015;7704036302;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-28097,33
01.05.2015;7704036302;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-1453,69
01.05.2015;0266005991;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-10116
01.05.2015;0266005991;18210905050010000110;Прочие товары(сырьё);-336,87
01.05.2015;0266005991;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-1316,84
01.05.2015;0266005991;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-87,52
01.05.2015;0266005991;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-114,65
01.05.2015;0266005991;18210904020020000110;Задолженность по налогу с владельцев транспортных  средстви по налогу на приобретение транспортных средств;-2811,94
01.05.2015;0266005991;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-1880,91
01.05.2015;0266004959;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-54,4
01.05.2015;0266018662;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-80
01.05.2015;0266018662;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-38008
01.05.2015;0278107229;18210604011020000110;Транспортный налог с организаций;-595
01.05.2015;0266011650;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-4331
01.05.2015;0266015887;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-2920
01.05.2015;0266005776;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-4097,83
01.05.2015;0266003465;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-80594
01.05.2015;0266034022;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-2165
01.05.2015;0266008248;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-573,98
01.05.2015;0266008248;18210907052040000110;Прочие местные налоги и сборы;-86
01.05.2015;0266008248;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-90,02
01.05.2015;0266008248;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-861
01.05.2015;0266008248;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-239,16
01.05.2015;0266020936;18210301000010000110;НДС Налогового агента;-38756
01.05.2015;0266020936;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-10371
01.05.2015;0266007734;18210909020070000110;(НА)Единый социальный налог(взнос), зачисляемый в Фонд  социального страхования РФ;-127,24
01.05.2015;0266007734;18210909010010000110;(НА) Единый социальный налог (взнос),зачисляемый в федеральный бюджет;-107,08
01.05.2015;0266010575;18210909010010000110;(НА) Единый социальный налог (взнос),зачисляемый в федеральный бюджет;-19686,09
01.05.2015;0276117302;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-334
01.05.2015;0266019024;18210501011010000110;Налог, взимаемый с налогоплательщиков, выбравших в качестве объекта налогообложения доходы;-88437,91
01.05.2015;0266043010;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-1035478
01.05.2015;0266028702;18210909030080000110;Единый социальный налог, зачисляемый в Федеральный фонд обязательного медицинского страхования;-3272
01.05.2015;0266028702;18210909010010000110;(НА) Единый социальный налог (взнос),зачисляемый в федеральный бюджет;-24062,9
01.05.2015;0266028702;18210909020070000110;(НА)Единый социальный налог(взнос), зачисляемый в Фонд  социального страхования РФ;-3062
01.05.2015;0266005695;18210501021010000110;Налог, взимаемый с налогоплательщиков, выбравших в качестве объекта налогообложения доходы, уменьшенные на величину расходов;-68620
01.05.2015;0266012300;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-4804,86
01.05.2015;0266016954;18210909030080000110;Единый социальный налог, зачисляемый в Федеральный фонд обязательного медицинского страхования;-9315
01.05.2015;0266042760;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-6850
01.05.2015;0266042760;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-1525881
01.05.2015;0266042760;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-247470
