ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.03.2015;0266009298;18210909030080000110;-8,81
01.03.2015;0266009298;18210909020070000110;-378,77
01.03.2015;7810529853;18210101012020000110;-100,58
01.03.2015;0266004998;18210908030070000140;-78,06
01.03.2015;0266030691;18210101012020000110;-1,15
01.03.2015;0266030691;18210101011010000110;-0,13
01.03.2015;0266030691;18210301000010000110;-8,91
01.03.2015;0266990130;18210501021010000110;-1000
01.03.2015;0277100069;18210606032040000110;-208296,69
01.03.2015;0266025821;18210604011020000110;-44,29
01.03.2015;0266025821;18210602010020000110;-181,93
01.03.2015;0266990074;18211603010010000140;-600
01.03.2015;0266017644;18210101012020000110;-0,14
01.03.2015;0266017644;18210904010020000110;-15,03
01.03.2015;0266017644;18210301000010000110;-47,62
01.03.2015;0266017644;18210904030010000110;-56,16
01.03.2015;0266017644;18210907032040000110;-6,38
01.03.2015;0266017644;18210906010020000110;-870,72
01.03.2015;0266016577;18210907052040000110;-2700,58
01.03.2015;0266016577;18210904030010000110;-1978,73
01.03.2015;0266016577;18210101012020000110;-16380,65
01.03.2015;0266016577;18210904010020000110;-2623,18
01.03.2015;0266016577;18210907032040000110;-264,28
01.03.2015;0266016577;18210906010020000110;-14130,01
01.03.2015;0266016577;18210101011010000110;-11450,59
01.03.2015;0266016577;18210703000010000110;-45,73
01.03.2015;0266016577;18210901020040000110;-9680,97
01.03.2015;0266019803;18210909020070000110;-1,15
01.03.2015;0266019803;18210602010020000110;-0,05
01.03.2015;0266019803;18210909030080000110;-0,08
01.03.2015;0266019803;18210909010010000110;-0,27
01.03.2015;0266033036;18210301000010000110;-5,73
01.03.2015;0266030966;18210501011010000110;-133,6
01.03.2015;0276139264;18210502010020000110;-14,56
01.03.2015;0266002020;18210908020060000140;-1951,31
01.03.2015;0266002020;18210901020040000110;-2109,93
01.03.2015;0266002020;18210904020020000110;-1908,66
01.03.2015;0266002020;18210301000010000110;-13573,37
01.03.2015;0266002020;18210904010020000110;-1480,39
01.03.2015;0266002020;18210101011010000110;-5499
01.03.2015;0266002020;18210905050010000110;-1529,2
01.03.2015;0266002020;18210101012020000110;-7233,78
01.03.2015;0266010303;18210904010020000110;-31,2
01.03.2015;0266010303;18210101012020000110;-4390,96
01.03.2015;0266010303;18210101011010000110;-3351,95
01.03.2015;0266010303;18210901020040000110;-1291,99
01.03.2015;0266010303;18210904030010000110;-67,9
01.03.2015;0266010303;18210301000010000110;-127,8
01.03.2015;0266990170;18210301000010000110;-179,89
01.03.2015;0274018377;18210906010020000110;-6,06
01.03.2015;0274018377;18210905010010000110;-66,83
01.03.2015;0274018377;18210909020070000110;-13748,45
01.03.2015;0274018377;18210904030010000110;-62164,97
01.03.2015;0274018377;18210907052040000110;-837,62
01.03.2015;0274018377;18210901020040000110;-23584,72
01.03.2015;0274045684;18210606032040000110;-1794,03
01.03.2015;7704036302;18210908060010000140;-3724,08
01.03.2015;7704036302;18210101012020000110;-10745,85
01.03.2015;7704036302;18210904010020000110;-104086,9
01.03.2015;7704036302;18210909010010000110;-19657,19
01.03.2015;7704036302;18210907052040000110;-22881,92
01.03.2015;7704036302;18210904020020000110;-418,81
01.03.2015;7704036302;18210909020070000110;-3581,76
01.03.2015;7704036302;18210908040080000140;-12453,64
01.03.2015;7704036302;18210905050010000110;-9208,02
01.03.2015;7704036302;18210907032040000110;-494,27
01.03.2015;7704036302;18210909030080000110;-3222,95
01.03.2015;7704036302;18210604011020000110;-5061,31
01.03.2015;7704036302;18210901020040000110;-2392,22
01.03.2015;0266990363;18211603010010000140;-200
01.03.2015;0266990243;18210301000010000110;-1000
01.03.2015;0266990243;18211603010010000140;-400
01.03.2015;0266005991;18210101011010000110;-746,83
01.03.2015;0266005991;18210101012020000110;-985,7
01.03.2015;0266005991;18210904010020000110;-5954,71
01.03.2015;0266005991;18210908020060000140;-39904,09
01.03.2015;0266005991;18210901020040000110;-290,05
01.03.2015;0266005991;18210102010010000110;-1937,26
01.03.2015;0266005991;18210301000010000110;-13263,33
01.03.2015;0266005991;18210905050010000110;-1922,89
01.03.2015;0266005991;18210904020020000110;-12098,61
01.03.2015;0266020816;18210102010010000110;-268
01.03.2015;0266020816;18210602010020000110;-1000
01.03.2015;0266020816;18210909010010000110;-5450,06
01.03.2015;0266020816;18211603010010000140;-2000
01.03.2015;0266020816;18210909030080000110;-810,22
01.03.2015;0266004959;18210101012020000110;-331,15
01.03.2015;0266004959;18210101011010000110;-252,8
01.03.2015;0266004959;18210904010020000110;-250,74
01.03.2015;0266004959;18210901020040000110;-97,44
01.03.2015;0266018662;18210907032040000110;-54,68
01.03.2015;0266018662;18210904010020000110;-245,58
01.03.2015;0266018662;18210301000010000110;-119396,02
01.03.2015;0278107229;18210604011020000110;-719,06
01.03.2015;0266011650;18210908040080000140;-0,61
01.03.2015;0266011650;18210908030070000140;-7123,72
01.03.2015;0266011650;18210908060010000140;-0,24
01.03.2015;0266011650;18210102010010000110;-6046
01.03.2015;0266014820;18210909010010000110;-79
01.03.2015;0266014820;18210909030080000110;-21
01.03.2015;0266014820;18210909020070000110;-11
01.03.2015;0266014820;18210907032040000110;-7,16
01.03.2015;0266014820;18210904052040000110;-2736,55
01.03.2015;0266014820;18210703000010000110;-6,34
01.03.2015;0266024313;18210602010020000110;-300
01.03.2015;0266026159;18210909030080000110;-5,59
01.03.2015;0266026159;18210909010010000110;-1,4
01.03.2015;0266015887;18210909010010000110;-77
01.03.2015;0266015887;18210908030070000140;-3384,48
01.03.2015;0266015887;18210909020070000110;-12
01.03.2015;0266015887;18210703000010000110;-16,11
01.03.2015;0266015887;18210101012020000110;-13,75
01.03.2015;0266015887;18210901020040000110;-5,06
01.03.2015;0266015887;18210909030080000110;-11
01.03.2015;0266015887;18210908040080000140;-263,72
01.03.2015;0266015887;18210101011010000110;-11,5
01.03.2015;0266015446;18211603010010000140;-100
01.03.2015;0266015446;18210301000010000110;-100
01.03.2015;0266012068;18210905050010000110;-5,36
01.03.2015;0266012068;18210907032040000110;-89,25
01.03.2015;0266012068;18210908030070000140;-4734
01.03.2015;0266033011;18210602010020000110;-4,46
01.03.2015;0266013142;18210606032040000110;-147,44
01.03.2015;0266013142;18210602010020000110;-2188,37
01.03.2015;0266013142;18210604011020000110;-29,57
01.03.2015;0266013142;18210101011010000110;-28,93
01.03.2015;0266005367;18210606032040000110;-167,23
01.03.2015;0266005776;18210301000010000110;-6293,66
