Дата;инн;КБК;сальдо
01.03.2015;0266009298;18210909020070000110;-378,77
01.03.2015;7810529853;18210101012020000110;-100,58
01.03.2015;0266990130;18210501021010000110;-1000
01.03.2015;0277100069;18210606032040000110;-23757,45
01.03.2015;0277100069;18210606032040000110;-184590
01.03.2015;0266025821;18210602010020000110;-181,93
01.03.2015;0266990074;18211603010010000140;-600
01.03.2015;0266017644;18210906010020000110;-463,18
01.03.2015;0266017644;18210906010020000110;-307,62
01.03.2015;0266016577;18210907052040000110;-1952,88
01.03.2015;0266016577;18210901020040000110;-2903
01.03.2015;0266016577;18210906010020000110;-4286
01.03.2015;0266016577;18210904030010000110;-1461,61
01.03.2015;0266016577;18210901020040000110;-6778,77
01.03.2015;0266016577;18210904010020000110;-1778,59
01.03.2015;0266016577;18210907032040000110;-174,3
01.03.2015;0266016577;18210907052040000110;-747,91
01.03.2015;0266016577;18210904030010000110;-517,26
01.03.2015;0266016577;18210906010020000110;-9845,19
01.03.2015;0266016577;18210904010020000110;-844,82
01.03.2015;0266016577;18210101012020000110;-16380,65
01.03.2015;0266016577;18210101011010000110;-11450,59
01.03.2015;0266030966;18210501011010000110;-133,6
01.03.2015;0266002020;18210101011010000110;-640,12
01.03.2015;0266002020;18210901020040000110;-625,88
01.03.2015;0266002020;18210904010020000110;-988,91
01.03.2015;0266002020;18210901020040000110;-246,73
01.03.2015;0266002020;18210904010020000110;-481,68
01.03.2015;0266002020;18210908020060000140;-1171,63
01.03.2015;0266002020;18210301000010000110;-278,1
01.03.2015;0266002020;18210901020040000110;-1237,39
01.03.2015;0266002020;18210101011010000110;-1648,76
01.03.2015;0266002020;18210101012020000110;-838,55
01.03.2015;0266002020;18210301000010000110;-3725,78
01.03.2015;0266002020;18210904020020000110;-1213,66
01.03.2015;0266002020;18210101012020000110;-2190,05
01.03.2015;0266002020;18210101011010000110;-3210,3
01.03.2015;0266002020;18210905050010000110;-1064,21
01.03.2015;0266002020;18210301000010000110;-9570,51
01.03.2015;0266002020;18210904020020000110;-106
01.03.2015;0266002020;18210905050010000110;-423,37
01.03.2015;0266002020;18210904020020000110;-589,16
01.03.2015;0266002020;18210908020060000140;-769
01.03.2015;0266002020;18210101012020000110;-4205,41
01.03.2015;0266010303;18210301000010000110;-127,8
01.03.2015;0266010303;18210101012020000110;-4390,96
01.03.2015;0266010303;18210101011010000110;-3351,95
01.03.2015;0266010303;18210901020040000110;-1291,99
01.03.2015;0266990170;18210301000010000110;-179
01.03.2015;0274018377;18210909020070000110;-13748,45
01.03.2015;0274018377;18210901020040000110;-256,26
01.03.2015;0274018377;18210904030010000110;-62164,97
01.03.2015;0274018377;18210901020040000110;-23328,46
01.03.2015;0274018377;18210907052040000110;-837,62
01.03.2015;7704036302;18210905050010000110;-2423,59
01.03.2015;7704036302;18210908040080000140;-9698,64
01.03.2015;7704036302;18210905050010000110;-6785,1
01.03.2015;7704036302;18210908040080000140;-2755,76
01.03.2015;7704036302;18210604011020000110;-5061,31
01.03.2015;7704036302;18210907052040000110;-4922,5
01.03.2015;7704036302;18210909030080000110;-3222,95
01.03.2015;7704036302;18210907052040000110;-317,6
01.03.2015;7704036302;18210909010010000110;-19657,19
01.03.2015;7704036302;18210909020070000110;-3581,76
01.03.2015;7704036302;18210101012020000110;-1962
