ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.04.2015;0266010222;18210301000010000110;-1000
01.04.2015;0266010222;18210101012020000110;-900
01.04.2015;0266009298;18210909020070000110;-378,77
01.04.2015;7810529853;18210101012020000110;-100,58
01.04.2015;0266030691;18210501011010000110;-2952,72
01.04.2015;0266990081;18210501021010000110;-28100,59
01.04.2015;0266990187;18210501011010000110;-11296
01.04.2015;0266990130;18210501021010000110;-1000
01.04.2015;0277100069;18210606032040000110;-209870,33
01.04.2015;0266025821;18210602010020000110;-181,93
01.04.2015;0266990074;18211603010010000140;-600
01.04.2015;0266017644;18210906010020000110;-873,35
01.04.2015;0266016577;18210907052040000110;-2707,01
01.04.2015;0266016577;18210904030010000110;-1983,15
01.04.2015;0266016577;18210907032040000110;-265,05
01.04.2015;0266016577;18210904010020000110;-2630,39
01.04.2015;0266016577;18210906010020000110;-14166,57
01.04.2015;0266016577;18210101012020000110;-16380,65
01.04.2015;0266016577;18210101011010000110;-11450,59
01.04.2015;0266016577;18210901020040000110;-9705,73
01.04.2015;0266030966;18210501011010000110;-133,6
01.04.2015;0266002020;18210901020040000110;-2112,05
01.04.2015;0266002020;18210904020020000110;-1913,7
01.04.2015;0266002020;18210101011010000110;-5504,5
01.04.2015;0266002020;18210101012020000110;-7240,94
01.04.2015;0266002020;18210905050010000110;-1532,85
01.04.2015;0266002020;18210301000010000110;-13605,14
01.04.2015;0266002020;18210904010020000110;-1484,5
01.04.2015;0266002020;18210908020060000140;-1951,31
01.04.2015;0266010303;18210301000010000110;-127,8
01.04.2015;0266010303;18210901020040000110;-1291,99
01.04.2015;0266010303;18210101012020000110;-4390,96
01.04.2015;0266010303;18210101011010000110;-3351,95
01.04.2015;0266990170;18210301000010000110;-270,58
01.04.2015;0274018377;18210904030010000110;-3364
01.04.2015;0274018377;18210909020070000110;-356,39
01.04.2015;0274045684;18210606032040000110;-1808,85
01.04.2015;7704036302;18210908060010000140;-3724,08
01.04.2015;7704036302;18210907052040000110;-22923,89
01.04.2015;7704036302;18210909030080000110;-3222,95
01.04.2015;7704036302;18210909020070000110;-3581,76
01.04.2015;7704036302;18210908040080000140;-12477,15
01.04.2015;7704036302;18210905050010000110;-9228,73
01.04.2015;7704036302;18210904010020000110;-104326,47
01.04.2015;7704036302;18210904020020000110;-418,81
01.04.2015;7704036302;18210604011020000110;-5061,31
01.04.2015;7704036302;18210909010010000110;-19657,19
01.04.2015;7704036302;18210101012020000110;-10745,85
01.04.2015;7704036302;18210907032040000110;-494,27
01.04.2015;7704036302;18210901020040000110;-2392,22
01.04.2015;0266990243;18211603010010000140;-600
01.04.2015;0266990243;18210301000010000110;-1000
01.04.2015;0266005991;18210301000010000110;-13279,39
01.04.2015;0266005991;18210904010020000110;-5965,95
01.04.2015;0266005991;18210101011010000110;-747,59
01.04.2015;0266005991;18210901020040000110;-290,35
01.04.2015;0266005991;18210101012020000110;-986,69
01.04.2015;0266005991;18210908020060000140;-39904,09
01.04.2015;0266005991;18210904020020000110;-12122,6
01.04.2015;0266005991;18210102010010000110;-1937,26
01.04.2015;0266005991;18210905050010000110;-1925,78
01.04.2015;0266020816;18210102010010000110;-268
01.04.2015;0266020816;18210602010020000110;-1000
01.04.2015;0266020816;18211603010010000140;-2000
01.04.2015;0266020816;18210909010010000110;-5450,06
01.04.2015;0266020816;18210909030080000110;-810,22
01.04.2015;0266004959;18210904010020000110;-251,2
01.04.2015;0266004959;18210101011010000110;-252,8
01.04.2015;0266004959;18210101012020000110;-331,15
01.04.2015;0266018662;18210301000010000110;-119720,05
01.04.2015;0266018662;18210904010020000110;-246,28
01.04.2015;0278107229;18210604011020000110;-724,14
01.04.2015;0266011650;18210102010010000110;-6046
01.04.2015;0266011650;18210908030070000140;-7123,72
01.04.2015;0266014820;18210904052040000110;-2736,55
01.04.2015;0266024313;18210602010020000110;-300
01.04.2015;0266015887;18210908040080000140;-263,72
01.04.2015;0266015887;18210908030070000140;-3384,48
01.04.2015;0266012068;18210908030070000140;-4734
01.04.2015;0266013142;18210606032040000110;-147,44
01.04.2015;0266013142;18210602010020000110;-2188,37
01.04.2015;0266005367;18210606032040000110;-167,23
01.04.2015;0266005776;18210606032040000110;-4853,17
01.04.2015;0266005776;18210301000010000110;-18837,46
01.04.2015;0266005776;18210602010020000110;-166102,51
01.04.2015;0266005776;18210604011020000110;-456
01.04.2015;0266009308;18211603010010000140;-300
01.04.2015;0266034022;18210602010020000110;-15192,69
01.04.2015;0266034022;18211603010010000140;-700
01.04.2015;0266034022;18210606032040000110;-4067,04
01.04.2015;0266034022;18210301000010000110;-645,61
01.04.2015;0266034022;18210604011020000110;-917,14
01.04.2015;0266034022;18210909030080000110;-1404,44
01.04.2015;0266029128;18210602010020000110;-12114,21
01.04.2015;0278106433;18210606032040000110;-1475,42
01.04.2015;0266008248;18210907032040000110;-335,82
01.04.2015;0266008248;18210908060010000140;-556,35
01.04.2015;0266008248;18210904030010000110;-158,61
01.04.2015;0266008248;18210907052040000110;-314,93
01.04.2015;0266008248;18210908020060000140;-6497,38
01.04.2015;0266008248;18210908030070000140;-1926,18
01.04.2015;0266008248;18210908040080000140;-1607,14
01.04.2015;0266020936;18210301000010000110;-37324,6
01.04.2015;0266007734;18210909010010000110;-322,27
01.04.2015;0266007734;18210909020070000110;-375,66
01.04.2015;0266003472;18210101012020000110;-182367,84
01.04.2015;0266003472;18211603010010000140;-2000
01.04.2015;0266003472;18210604011020000110;-1191,13
01.04.2015;0266003472;18210606032040000110;-2179,67
01.04.2015;0266003472;18210101011010000110;-10762,93
01.04.2015;0266006113;18210606032040000110;-3359,25
01.04.2015;0266016707;18210604011020000110;-454,85
01.04.2015;0266005455;18210602010020000110;-90661,71
01.04.2015;0266019151;18210909020070000110;-543,27
01.04.2015;0266019151;18210604011020000110;-301,01
01.04.2015;0266001605;18210604011020000110;-2789,7
01.04.2015;0266001605;18210602010020000110;-135840,85
01.04.2015;0266001605;18210606032040000110;-2199,73
01.04.2015;0266001605;18210101011010000110;-147,79
01.04.2015;0266001605;18210101012020000110;-1070,42
01.04.2015;0266001605;18211603010010000140;-200
01.04.2015;0266010575;18210909010010000110;-34800,58
01.04.2015;0266010575;18210501022010000110;-63037,25
01.04.2015;0266010575;18210604011020000110;-1760,52
01.04.2015;0266010575;18211603010010000140;-400
01.04.2015;0266010575;18210102010010000110;-465818,57
01.04.2015;0266010575;18210101012020000110;-285,7
01.04.2015;0266010575;18210301000010000110;-3000
01.04.2015;0266010575;18210101011010000110;-192,9
01.04.2015;0266010575;18210602010020000110;-1027,67
01.04.2015;0276117302;18210602010020000110;-171,02
01.04.2015;0266019024;18210501011010000110;-89234,71
01.04.2015;0266028452;18210604011020000110;-168,94
01.04.2015;0266008167;18211603010010000140;-4300
01.04.2015;0266017161;18210604011020000110;-917,6
01.04.2015;0266017612;18210906010020000110;-148,84
01.04.2015;0266017612;18210604011020000110;-2062,29
01.04.2015;0266017612;18210301000010000110;-692493,83
01.04.2015;0266017612;18210908030070000140;-105333,99
01.04.2015;0266017612;18210909010010000110;-25124,64
01.04.2015;0266017612;18210909030080000110;-2778,7
01.04.2015;0266017612;18210907052040000110;-6139,09
01.04.2015;0266017612;18210904010020000110;-16775,8
01.04.2015;0266043010;18210301000010000110;-2987,2
01.04.2015;0263018551;18210301000010000110;-5310,74
01.04.2015;0266042263;18210301000010000110;-1041,06
01.04.2015;0266021810;18210101012020000110;-900
01.04.2015;0266031046;18210908040080000140;-5798,84
01.04.2015;0266031825;18210301000010000110;-1000
01.04.2015;0266031832;18210101012020000110;-900
01.04.2015;0266028702;18210101012020000110;-900
01.04.2015;0266028702;18210909030080000110;-5283,88
01.04.2015;0266028702;18211603010010000140;-400
01.04.2015;0266028702;18210909010010000110;-36717,66
01.04.2015;0266028702;18210909020070000110;-5069,11
01.04.2015;0266024754;18210301000010000110;-6000
01.04.2015;0266024754;18210101011010000110;-600
01.04.2015;0266024754;18210101012020000110;-5400
01.04.2015;0266024754;18211603010010000140;-400
01.04.2015;0266005695;18210301000010000110;-1143
01.04.2015;0266005695;18210501021010000110;-77994,52
01.04.2015;0266012300;18210906010020000110;-1531,19
01.04.2015;0266012300;18210901020040000110;-9921,48
01.04.2015;0266016954;18210909030080000110;-12199,39
01.04.2015;0266042760;18210101011010000110;-247538,05
01.04.2015;0266042760;18210101012020000110;-1626328,12
01.04.2015;0266042760;18210301000010000110;-1517624,86
01.04.2015;0266015943;18210301000010000110;-4028,34
01.04.2015;0266015943;18210101012020000110;-835
01.04.2015;0266015943;18210909010010000110;-995,42
01.04.2015;0266015943;18210101011010000110;-942,47
01.04.2015;0266015943;18211603010010000140;-400
01.04.2015;0266019264;18210907032040000110;-132,65
01.04.2015;0266019264;18210901020040000110;-539,77
01.04.2015;0266019264;18210904010020000110;-1023,1
01.04.2015;0266019264;18210904030010000110;-2689,32
01.04.2015;0266016930;18210904010020000110;-4449,82
01.04.2015;0266016930;18210907032040000110;-343,41
01.04.2015;0266016930;18210904030010000110;-120,67
01.04.2015;0266017235;18210904010020000110;-10325,65
01.04.2015;0266017235;18210907052040000110;-12952,88
01.04.2015;0266017235;18210904030010000110;-16870,03
01.04.2015;0266017235;18210908030070000140;-471,66
01.04.2015;0266017235;18210901020040000110;-2474,34
01.04.2015;0266017235;18210907032040000110;-381,82
01.04.2015;0273028277;18211606000010000140;-30000
01.04.2015;0274065433;18210301000010000110;-1100
01.04.2015;0275043200;18210602010020000110;-563,4
01.04.2015;0266011402;18210904010020000110;-245,71
01.04.2015;0266003360;18210101011010000110;-4473,98
01.04.2015;0266003360;18210904010020000110;-238,07
01.04.2015;0266003360;18210101012020000110;-5692,72
01.04.2015;0266003360;18210301000010000110;-6164,82
01.04.2015;0266003360;18210905050010000110;-894,44
01.04.2015;0266003360;18210908020060000140;-777,26
01.04.2015;0266003360;18210904030010000110;-250,69
01.04.2015;0266003360;18210901020040000110;-1718,99
01.04.2015;0266011339;18210301000010000110;-13830,8
01.04.2015;0266011339;18210905010010000110;-11135,18
01.04.2015;0266002581;18210301000010000110;-1985,95
01.04.2015;0266007484;18210908020060000140;-5034,61
01.04.2015;0266010832;18210908060010000140;-272,34
01.04.2015;0266010832;18210907052040000110;-7088,1
01.04.2015;0266010832;18210904010020000110;-1569,13
01.04.2015;0266010832;18210301000010000110;-52975,25
01.04.2015;0266010832;18210908020060000140;-2270,01
01.04.2015;0266010832;18210908040080000140;-911,86
01.04.2015;0266010832;18210907032040000110;-146,89
01.04.2015;0266010832;18210908030070000140;-712,51
01.04.2015;0266010832;18210904030010000110;-603,03
01.04.2015;0266010832;18210905050010000110;-544,67
01.04.2015;0266002550;18210301000010000110;-2538,58
01.04.2015;0266003377;18210905050010000110;-2355,38
01.04.2015;0266003377;18210904030010000110;-624,19
01.04.2015;0266003377;18210901020040000110;-976,38
01.04.2015;0266003377;18210101011010000110;-2550,92
01.04.2015;0266003377;18210301000010000110;-11455,06
01.04.2015;0266003377;18210101012020000110;-3198,69
01.04.2015;0266004765;18210901020040000110;-2978,55
01.04.2015;0266004765;18210301000010000110;-4820,46
01.04.2015;0266004765;18210101011010000110;-7586,93
01.04.2015;0266004765;18210905050010000110;-517,05
01.04.2015;0266004765;18210904010020000110;-6151,06
01.04.2015;0266004765;18210907032040000110;-554,41
01.04.2015;0266004765;18210101012020000110;-9642,61
01.04.2015;0266004765;18210908020060000140;-4355,04
01.04.2015;0266004765;18210907052040000110;-410,83
01.04.2015;0266004765;18210908060010000140;-458,73
01.04.2015;0266000344;18210301000010000110;-1116,1
01.04.2015;0266005504;18210301000010000110;-22254,43
01.04.2015;0266005504;18210904030010000110;-1389,09
01.04.2015;0266005504;18210101012020000110;-3412,59
01.04.2015;0266005504;18210901020040000110;-1004,12
01.04.2015;0266005504;18210101011010000110;-2605,08
01.04.2015;0266003634;18210908030070000140;-684,18
01.04.2015;0266004243;18210908020060000140;-6511,58
01.04.2015;0266004243;18210101012020000110;-8044,62
01.04.2015;0266004243;18210908030070000140;-2537,29
01.04.2015;0266004243;18210905050010000110;-1007,81
01.04.2015;0266004243;18210901020040000110;-2363,5
01.04.2015;0266004243;18210301000010000110;-68012,06
01.04.2015;0266004243;18210907052040000110;-830,38
01.04.2015;0266004243;18210908040080000140;-521,78
01.04.2015;0266004243;18210904010020000110;-6549,98
01.04.2015;0266004243;18210908060010000140;-738,93
01.04.2015;0266004243;18210101011010000110;-6040,66
01.04.2015;0266005590;18210901020040000110;-1769,24
01.04.2015;0266005590;18210101012020000110;-5993,25
01.04.2015;0266005590;18210101011010000110;-4585,99
01.04.2015;0266005590;18210301000010000110;-643,04
01.04.2015;0266004652;18210101012020000110;-1084,65
01.04.2015;0266004652;18210905050010000110;-488,62
01.04.2015;0266004652;18210908060010000140;-258,01
01.04.2015;0266004652;18210101011010000110;-894,18
01.04.2015;0266004652;18210901020040000110;-352,8
01.04.2015;0266004652;18210904030010000110;-6386,5
01.04.2015;0266004652;18210904010020000110;-169027,55
01.04.2015;0266004652;18210907052040000110;-1190,58
01.04.2015;0266004652;18210908040080000140;-808,92
01.04.2015;0266004652;18210908030070000140;-4127,88
01.04.2015;0266004652;18210907032040000110;-171,22
01.04.2015;0266004652;18210102010010000110;-183,78
01.04.2015;0266004652;18210908020060000140;-3063,88
01.04.2015;0266004652;18210301000010000110;-5920,18
01.04.2015;0266011522;18210908030070000140;-243,53
01.04.2015;0266011522;18210904010020000110;-786,88
01.04.2015;0266016055;18210602010020000110;-40351,46
01.04.2015;0266016055;18210604011020000110;-5267,07
01.04.2015;0266034304;18210301000010000110;-1000
01.04.2015;0266014227;18210908020060000140;-687,8
01.04.2015;0277125218;18210101012020000110;-1961,54
01.04.2015;0266033389;18210501050010000110;-600,54
01.04.2015;0266006579;18211603010010000140;-1600
01.04.2015;0266006579;18210301000010000110;-322,31
01.04.2015;0266006579;18210602010020000110;-997,47
01.04.2015;0266003507;18210907052040000110;-5598,64
01.04.2015;0266003507;18210908020060000140;-45994,49
01.04.2015;0266003507;18210908040080000140;-9954,87
01.04.2015;0266003507;18210904030010000110;-3543,75
01.04.2015;0266003507;18210904010020000110;-355,18
01.04.2015;0266003507;18210301000010000110;-28587,96
