ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.01.2015;0277100069;18210606022040000110;-205301,7
01.01.2015;0274018377;18210904030010000110;-62164,97
01.01.2015;7704036302;18210904010020000110;-103630,95
01.01.2015;0266018662;18210301000010000110;-118779,3
01.01.2015;0266034022;18210602010020000110;-539770,14
01.01.2015;0266003472;18210101012020000110;-101200,02
01.01.2015;0266017612;18210301000010000110;-692493,83
01.01.2015;0266017612;18210908030070000140;-105333,99
01.01.2015;7716199693;18210602010020000110;-1077598,29
01.01.2015;0266010832;18210301000010000110;-52660,16
01.01.2015;0266004243;18210301000010000110;-67587,23
01.01.2015;0266004652;18210904010020000110;-167942,25
01.01.2015;0266003507;18210102010010000110;-89831,97
01.01.2015;0242007245;18210502010020000110;-78882,4
01.01.2015;0266010575;18210501022010000110;-63037,25
01.01.2015;0266010575;18210102010010000110;-465818,57
01.01.2015;0266028011;18210602010020000110;-254435,02
01.01.2015;0266005303;18210301000010000110;-68846,62
01.01.2015;0266003296;18210301000010000110;-51888,91
01.01.2015;0266003056;18210301000010000110;-80282,77
01.01.2015;0266002905;18210908040080000140;-230923,79
01.01.2015;0266005230;18210909010010000110;-380186,51
01.01.2015;0266005230;18210602010020000110;-439906,52
01.01.2015;0266005230;18210301000010000110;-7193596,2
01.01.2015;0266020870;18210602010020000110;-96751,24
01.01.2015;0266020870;18210909010010000110;-181993,72
01.01.2015;0266006473;18210301000010000110;-90800,93
01.01.2015;0266006473;18210102010010000110;-1095828,26
01.01.2015;0266020950;18210301000010000110;-107855,38
01.01.2015;0266005575;18210301000010000110;-299092,2
01.01.2015;7719524655;18210605000020000110;-1613331,44
01.01.2015;0276073895;18210101012020000110;-97740,3
01.01.2015;7725238003;18210502020020000110;-59624,39
01.01.2015;7701274771;18210602010020000110;-93613,05
01.01.2015;7701274771;18210606022040000110;-430324
01.01.2015;0266020414;18210502010020000110;-240918,55
01.01.2015;0266020414;18210502020020000110;-186266,89
01.01.2015;0266020414;18210301000010000110;-135259,7
01.01.2015;0266032635;18210602010020000110;-1014431,95
01.01.2015;0266032635;18210301000010000110;-267918,76
