‰‡Ú‡;»ÕÕ ÔÎ‡Ú.; ¡ ;—‡Î¸‰Ó
01.01.2015;266009298;18210909020070000110;-378,77
01.01.2015;266009298;18210909030080000110;-8,81
01.01.2015;7810529853;18210101012020000110;-100,58
01.01.2015;266030691;18210101012020000110;-1,15
01.01.2015;266030691;18210101011010000110;-0,13
01.01.2015;266030691;18210301000010000110;-8,91
01.01.2015;266990130;18210501021010000110;-1000
01.01.2015;277100069;18210606032040000110;-206875,33
01.01.2015;266025821;18210602010020000110;-181,93
01.01.2015;266025821;18210604011020000110;-49,21
01.01.2015;266990074;18211603010010000140;-600
01.01.2015;266017644;18210904030010000110;-55,94
01.01.2015;266017644;18210101012020000110;-0,14
01.01.2015;266017644;18210904010020000110;-15,03
01.01.2015;266017644;18210906010020000110;-868,34
01.01.2015;266017644;18210907032040000110;-6,38
01.01.2015;266017644;18210301000010000110;-47,62
01.01.2015;266016577;18210904030010000110;-1974,73
01.01.2015;266016577;18210907052040000110;-2694,76
01.01.2015;266016577;18210101012020000110;-16380,65
01.01.2015;266016577;18210904010020000110;-2616,66
01.01.2015;266016577;18210703000010000110;-45,6
01.01.2015;266016577;18210901020040000110;-9658,59
01.01.2015;266016577;18210906010020000110;-14096,98
01.01.2015;266016577;18210907032040000110;-263,58
01.01.2015;266016577;18210101011010000110;-11450,59
01.01.2015;266019803;18210909010010000110;-0,27
01.01.2015;266019803;18210909030080000110;-0,08
01.01.2015;266019803;18210602010020000110;-0,05
01.01.2015;266019803;18210909020070000110;-1,15
01.01.2015;266033036;18210301000010000110;-5,73
01.01.2015;266030966;18210501011010000110;-133,6
01.01.2015;276139264;18210502010020000110;-14,56
01.01.2015;266002020;18210904020020000110;-1904,11
01.01.2015;266002020;18210101011010000110;-5494,02
01.01.2015;266002020;18210101012020000110;-7227,31
01.01.2015;266002020;18210908020060000140;-1951,31
01.01.2015;266002020;18210905050010000110;-1525,89
01.01.2015;266002020;18210901020040000110;-2108
01.01.2015;266002020;18210904010020000110;-1476,67
01.01.2015;266002020;18210301000010000110;-13544,67
01.01.2015;266010303;18210901020040000110;-1291,99
01.01.2015;266010303;18210101011010000110;-3351,95
01.01.2015;266010303;18210301000010000110;-127,8
01.01.2015;266010303;18210904010020000110;-31,2
01.01.2015;266010303;18210904030010000110;-67,9
01.01.2015;266010303;18210101012020000110;-4390,96
01.01.2015;266990170;18210301000010000110;-90,12
01.01.2015;274018377;18210909020070000110;-13748,45
01.01.2015;274018377;18210905010010000110;-66,83
01.01.2015;274018377;18210901020040000110;-23584,72
01.01.2015;274018377;18210904030010000110;-62164,97
01.01.2015;274018377;18210907052040000110;-837,62
01.01.2015;274018377;18210906010020000110;-6,06
01.01.2015;7704036302;18210604011020000110;-5061,31
01.01.2015;7704036302;18210909020070000110;-3581,76
01.01.2015;7704036302;18210908040080000140;-12432,39
01.01.2015;7704036302;18210909010010000110;-19657,19
01.01.2015;7704036302;18210907032040000110;-494,27
01.01.2015;7704036302;18210907052040000110;-22844
01.01.2015;7704036302;18210908060010000140;-3724,08
01.01.2015;7704036302;18210901020040000110;-2392,22
